id,scramble,time,numexp,numgen
0,cBbd,0.37,2,24
1,eBba,0.36,2,24
2,FDAa,0.36,2,24
3,bFDE,0.36,4,46
4,EfDE,0.41,255,2807
5,CcCd,0.36,2,24
6,bdEc,0.36,23,255
7,DAAF,0.36,5,57
8,cdda,0.36,7,79
9,aBAE,0.36,13,145
10,feEa,0.36,2,24
11,cAaa,0.36,2,24
12,DEAa,0.36,2,24
13,FeAC,0.36,4,46
14,Bdab,0.49,630,6932
15,DfDF,0.36,19,211
16,ACDE,0.37,78,860
17,BAbD,0.36,23,255
18,EdEe,0.36,2,24
19,FdEe,0.36,2,24
20,cAbA,0.40,203,2235
21,FdDa,0.36,2,24
22,AdBA,0.41,255,2807
23,EDdE,0.36,2,24
24,CfBB,0.36,13,145
25,FBFb,0.36,31,343
26,BCde,0.36,16,178
27,bBeA,0.36,2,24
28,DCaB,0.36,32,354
29,FdaD,0.37,41,453
30,bcAa,0.36,2,24
31,FFfF,0.36,2,24
32,ffdB,0.36,4,46
33,FefE,0.36,0,1
34,eDcD,0.36,39,431
35,dbbD,0.36,2,24
36,dAdF,0.36,7,79
37,fCdC,0.36,39,431
38,CbED,0.36,16,178
39,CCCA,0.36,2,24
40,beBF,0.36,25,277
41,CCFE,0.36,4,46
42,FBDF,0.38,98,1080
43,debC,0.36,4,46
44,ECdB,0.36,7,79
45,fAea,0.42,289,3181
46,ABef,0.36,7,79
47,efDF,0.45,429,4721
48,FCFa,0.36,8,90
49,DfeE,0.36,2,24
50,BAdc,0.36,4,46
51,DdBF,0.36,2,24
52,CADB,0.36,4,46
53,ccdd,0.36,4,46
54,FFfb,0.36,2,24
55,Bbfc,0.36,2,24
56,bdfa,0.38,78,860
57,AbdC,0.36,4,46
58,dEcf,0.36,16,178
59,EfbD,0.36,4,46
60,BAEA,0.39,150,1652
61,DBaf,0.37,48,530
62,fDeB,0.36,4,46
63,DCFC,0.36,4,46
64,FeaD,0.37,81,893
65,CeEA,0.36,2,24
66,dcBf,0.36,18,200
67,aeCF,0.36,4,46
68,fCFf,0.36,2,24
69,BDfF,0.36,2,24
70,EaFd,0.36,4,46
71,bbff,0.36,4,46
72,dBdF,0.36,4,46
73,fBee,0.37,41,453
74,fEaE,0.40,203,2235
75,dCca,0.36,2,24
76,CedF,0.36,13,145
77,BDFF,0.45,440,4842
78,eFbC,0.36,30,332
79,eAdf,0.36,15,167
80,fBfA,0.36,7,79
81,bfCD,0.36,4,46
82,dadf,0.36,8,90
83,BfDA,0.36,4,46
84,CDCb,0.36,8,90
85,cdFE,0.36,7,79
86,BfDB,0.36,7,79
87,DBfC,0.39,23,255
88,ddFB,0.36,4,46
89,BfCf,0.36,39,431
90,cBeB,0.37,39,431
91,FEFB,0.36,4,46
92,eDab,0.36,16,178
93,AceC,0.48,577,6349
94,CEFe,0.36,2,24
95,dbBc,0.36,2,24
96,bacd,0.36,14,156
97,FEaa,0.45,440,4842
98,EEaE,0.36,11,123
99,BaAC,0.36,2,24
